host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class,taxid,matched_name
Nicotiana quadrivalvis var. bigelovii,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus mosandigenum,+ssRNA,12148,Tymovirus
Solanum tuberosum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus mosandigenum,+ssRNA,12148,Tymovirus
Asclepias viridis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,unclassified Tymovirus,+ssRNA,12148,Tymovirus
Sicyos edulis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus chayotis,+ssRNA,12148,Tymovirus
Capsicum annuum var. glabriusculum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus chiltepini,+ssRNA,12148,Tymovirus
Diascia,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,unclassified Tymovirus,+ssRNA,12148,Tymovirus
Solanum dulcamara,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus dulcamarae,+ssRNA,12148,Tymovirus
Solanum lycopersicum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus melongenae,+ssRNA,12148,Tymovirus
Solanum melongena,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus melongenae,+ssRNA,12148,Tymovirus
Solanum seaforthianum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus melongenae,+ssRNA,12148,Tymovirus
Erysimum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus erysimi,+ssRNA,12148,Tymovirus
Desmodium,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus kennedyae,+ssRNA,12148,Tymovirus
Indigofera australis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus kennedyae,+ssRNA,12148,Tymovirus
Kennedia rubicunda,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus kennedyae,+ssRNA,12148,Tymovirus
Solanum quitoense,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus naranjillae,+ssRNA,12148,Tymovirus
Scrophulariaceae,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus nemesiae,+ssRNA,12148,Tymovirus
Vigna oblongifolia,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus abelmoschi,+ssRNA,12148,Tymovirus
Nicotiana occidentalis subsp. hesperis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus abelmoschi,+ssRNA,12148,Tymovirus
Nicotiana occidentalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus abelmoschi,+ssRNA,12148,Tymovirus
Abelmoschus esculentus,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus abelmoschi,+ssRNA,12148,Tymovirus
Ononis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus ononis,+ssRNA,12148,Tymovirus
Passiflora edulis f. edulis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus passiflorae,+ssRNA,12148,Tymovirus
Physalis heterophylla,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus physalis,+ssRNA,12148,Tymovirus
