run_accession	sample_accession	country	collection_date	sample_alias	fastq_ftp	scientific_name	city
ERR14788849	SAMEA13189712	China	2017-12-21	DTU_2017_1013548_1_MG_CN1712_L46	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/049/ERR14788849/ERR14788849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/049/ERR14788849/ERR14788849_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788850	SAMEA13189713	China	2018-01-10	DTU_2018_1013549_1_MG_CN1801_L47	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/050/ERR14788850/ERR14788850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/050/ERR14788850/ERR14788850_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788851	SAMEA13189714	China	2018-02-08	DTU_2018_1013550_1_MG_CN1802_L48	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/051/ERR14788851/ERR14788851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/051/ERR14788851/ERR14788851_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788852	SAMEA13189715	China	2018-03-18	DTU_2018_1013551_1_MG_CN1803_L49	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/052/ERR14788852/ERR14788852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/052/ERR14788852/ERR14788852_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14789003	SAMEA13189716	USA	2017-12-20	DTU_2017_1013552_1_MG_US1712_L54	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR14789003/ERR14789003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR14789003/ERR14789003_2.fastq.gz	wastewater metagenome	Seattle
ERR14789004	SAMEA13189717	USA	2018-01-30	DTU_2018_1013553_1_MG_US1801_L55	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR14789004/ERR14789004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR14789004/ERR14789004_2.fastq.gz	wastewater metagenome	Seattle
ERR14789005	SAMEA13189718	USA	2018-02-22	DTU_2018_1013554_1_MG_US1802_L56	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR14789005/ERR14789005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR14789005/ERR14789005_2.fastq.gz	wastewater metagenome	Seattle
ERR14789006	SAMEA13189719	USA	2018-03-29	DTU_2018_1013555_1_MG_US1803_L57	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR14789006/ERR14789006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR14789006/ERR14789006_2.fastq.gz	wastewater metagenome	Seattle
ERR14788931	SAMEA13189720	Australia	2018-03-27	DTU_2018_1013556_1_MG_AU1803_L58	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/031/ERR14788931/ERR14788931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/031/ERR14788931/ERR14788931_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788932	SAMEA13189721	Australia	2018-04-27	DTU_2018_1013557_1_MG_AU1804_L59	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/032/ERR14788932/ERR14788932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/032/ERR14788932/ERR14788932_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788933	SAMEA13189722	Australia	2018-05-17	DTU_2018_1013558_1_MG_AU1805_L60	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/033/ERR14788933/ERR14788933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/033/ERR14788933/ERR14788933_2.fastq.gz	wastewater metagenome	Melbourne
