name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789181,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,ERR14789307,ERR14789308,ERR14789309,ERR14789310,ERR14789311,ERR14789312,ERR14789313,ERR14789315,ERR14789316,ERR14789317,ERR14789318,ERR14789319,ERR14789320,ERR14789321,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382,ERR14789353,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367,ERR14789334,ERR14789335,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297
              Metrivirus,2560175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
              Mimasvirus,2560176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.11,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                Napahaivirus,2560184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,
              Nickievirus,2560188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Noxifervirus,2560190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.31,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Otagovirus,2560197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,1.85,0.12,,,,,,,,,,,,,,,,,0.04,,,,,1.48,,,,,,,0.29,,,,,0.48,,,,,,3.96,,,,,,,,,,,,,,,,,,
              Peatvirus,2560201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,
                  Phimunavirus,2560202,,,,0.06,,,,,,,,,,,,,,,,,,,,0.14,,0.47,0.07,,,,,,,,,,,,,,,0.13,0.16,0.27,0.22,,0.22,,,,,0.87,0.28,0.7,0.13,,,,,,,,,,,,,,,,,0.06,,0.06,,0.09,0.75,0.87,0.19,0.23,0.41,,0.23,0.26,,0.46,,0.78,0.36,,,0.37,0.28,,,,,,,,,,,,0.11,,,0.04,0.19,,0.15,,
              Pikminvirus,2560203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Plaisancevirus,2560204,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,
                Pollyceevirus,2560206,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Polybotosvirus,2560207,,,,,,,,,,0.1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Popoffvirus,2560208,0.88,0.1,,0.04,0.05,0.95,,,0.7,0.42,0.35,0.5,,,,,,0.67,,,,,,0.15,0.14,0.48,0.08,,,,,,,,,,,,,,,0.48,1.19,0.79,0.91,,1.21,1.15,,,,1.41,,0.35,0.24,0.37,,,,,,,,,,,,,,,,0.29,0.87,0.55,1.01,0.95,2.86,1.73,1.79,1.51,2.19,0.51,0.87,0.16,,0.01,,,1.08,,,0.38,0.45,,,,0.1,,0.18,,,,,,0.1,,,0.02,,,0.09,,
              Rimavirus,2560214,,,,,,,,,,,0.08,,,,,,,,,,,,0.05,0.13,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,0.09,,,0.05,,
                Sanovirus,2560222,,,,,0.04,,,,,0.1,0.05,,,,0.48,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.1,,,,0.13,,,,,,,,,,,,,,,,,,,,0.14,0.12,,,0.19,,,,,0.11,,,0.05,,
              Scapunavirus,2560225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,0.46,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,0.03,,,,,
                Sugarlandvirus,2560233,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.34,0.53,0.43,,1.14,0.5,0.5,,0.38,,0.56,0.17,0.35,0.37,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,0.12,,,0.01,,,,,,,,,,0.03,,,,1.0,,,,,,0.5,0.15,0.09,1.59,,0.09,0.28,0.33
              Trinavirus,2560242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                Tulanevirus,2560244,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.28,0.29,0.37,,0.28,0.36,,,,0.19,,,0.3,0.35,,,,,,,,,,,,,,,,,,,0.1,,,,0.1,,,0.1,0.16,0.12,,,,,,,,0.24,,,,,0.09,,,,,,,,,,,0.03,,,,,
                Unahavirus,2560245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,0.35,,,0.38,,0.28,,,,,,0.33,,0.39,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Vicosavirus,2560248,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Vieuvirus,2560250,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Vividuovirus,2560251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
                Taipeivirus,2731621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,0.02,,,0.1,,
                  Pettyvirus,2731671,,,,,,,26.25,1.13,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.12,0.15,0.17,,0.76,,0.38,0.52,1.31,0.53,0.56,1.21,0.19,0.29,,,,,,,,,,,,,,,,,,,,,,0.14,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.08
                  Daemvirus,2731672,,,,,,,5.02,0.49,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.52,1.13,0.27,,0.88,0.22,,0.23,0.26,1.65,1.03,4.49,0.99,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                  Bonnellvirus,2731932,,,,,,,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.2,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Gajwadongvirus,2731941,,,,,,,,,,,0.07,,,0.18,,,,,,,0.13,0.08,0.05,0.24,0.16,1.26,0.21,,,,,,,,,,,,,,,,0.14,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,0.28,,
                Gyeongsanvirus,2731942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Jiaoyazivirus,2731945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
                Kalppathivirus,2731949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Kelmasvirus,2731950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Paadamvirus,2731961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Piedvirus,2731968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.21,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Scottvirus,2731973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
                  Epseptimavirus,2732017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.09,0.11,0.07,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.1,0.04,,,,,0.1
                Shenzhenvirus,2732038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.17,0.29,0.23,,0.74,0.34,0.2,,,0.29,,,0.24,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,0.18,0.17,,,,,0.09,,,,,
                Nouzillyvirus,2732049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Loudonvirus,2732063,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Andhravirus,2732589,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Aarhusvirus,2732675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Apdecimavirus,2732676,,,,,,,,,,,,,0.49,,0.76,,,0.57,,,0.32,0.15,,0.24,0.33,0.47,0.13,,,,,,,,,,,,,,,1.84,0.2,0.78,1.52,,0.62,0.76,0.35,1.22,1.14,,0.83,0.16,0.98,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,0.15,0.1,0.45,,0.23,,0.13,,0.09,0.16,,,0.16,,
                  Berlinvirus,2732677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.19,0.82,0.33,,0.64,,,0.43,,,,,0.36,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.15,,,,,,1.15,0.28,,0.21,,0.07,0.42,,,0.25,,
                  Caroctavirus,2732678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
                  Chatterjeevirus,2732679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,0.19,,,,,,0.14,,,0.16,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Foetvirus,2732682,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,0.37,0.24,0.68,0.12,,1.3,0.26,0.22,0.23,,,,,0.19,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,0.07,0.13,,,0.09,,0.09
                  Ghunavirus,2732683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,0.81,,,,,,,,,,,,,,,,52.37,
                  Helsettvirus,2732684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.22,,,,,,,,,,,0.78,1.89,,,,,,,,,,,,,,,,,,,,,,0.3,0.31,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Jarilovirus,2732685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,0.14,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,
                  Kayfunavirus,2732686,,,,0.04,0.03,,,,,0.36,0.22,0.54,,0.17,0.76,,,1.17,,0.02,0.25,0.14,0.13,0.45,0.57,0.45,0.32,,,,,,,,,,,,,,,0.53,0.51,0.94,0.43,,0.33,0.34,1.66,0.37,0.27,,,0.19,0.33,0.24,,,,,,,,,,,,,,,,0.14,,,,,,,,,0.26,,,,,,,,,,,,,,0.02,0.54,,,3.69,0.69,0.78,0.62,0.63,0.44,0.49,1.59,0.81,0.68,1.55,0.24,0.47,0.37,1.24
                  Minipunavirus,2732687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.04,,,,,
                  Ningirsuvirus,2732688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Pektosvirus,2732689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,
                  Phutvirus,2732690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
                  Pifdecavirus,2732691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86,,,,,,,,,,,,,,,,,0.08,
                  Pijolavirus,2732692,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,5.99,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,0.78,,,,,,0.35,8.68,,,,,,,,,,,,,,,,1.11,
                  Teetrevirus,2732693,,,,,,,,,,,,,,,,,,,,,0.16,,,,0.12,,,,,,,,,,,,,,,,,1.37,0.2,0.56,0.6,,0.56,0.45,,1.4,0.41,,0.29,0.18,1.07,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.36,,,,,,,,,,,,0.09,,,,,
                  Troedvirus,2732694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.14,,,,,,,,,,,,,,,,,
                Tunggulvirus,2732909,22.13,4.04,15.08,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,12.32,0.18,12.47,13.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,94.62,,,,,0.83,,,,,0.55,0.51,,,,,,,,,,,,,,,,
                  Ahphunavirus,2732912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,0.26,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Cronosvirus,2732913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,0.06,0.12,0.1,0.05,,
                  Pienvirus,2732915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
                  Kantovirus,2732920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,
                  Kotilavirus,2732921,,,,,,,2.57,,,,,,,,,,,,,,,,,0.12,,0.25,0.07,,,,,,,,,,,,,,,,0.27,0.09,0.13,,,,,,,0.35,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,0.11,,,0.03,0.21,,0.1,,
                  Stompvirus,2732922,,,,,,,,,,,0.06,,0.45,0.19,,,,0.65,,0.02,,,,0.6,0.48,1.21,0.39,,,,,,,,,,,,,,,0.26,0.42,0.41,0.34,,0.22,0.46,,0.21,0.19,1.51,0.3,0.2,0.21,,,,,,,,,,,,,,,,,0.05,,,0.1,,,,,,,,0.15,,,,,,,,,0.17,,,,,,,0.17,0.13,,0.22,,,0.32,0.25,0.09,0.08,1.03,,0.54,0.08,0.17
                  Kirikabuvirus,2732923,0.63,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.28,,,,7.17,0.58,19.61,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,73.12,,,,,,,,,,,,,,,,,
                Stubburvirus,2732924,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.15,0.27,0.2,,0.26,,,,,,,,0.22,0.24,,,,,,,,,,,,,,,,,0.16,,0.27,,,0.13,0.7,,0.26,0.17,0.23,,,,,,,,,0.98,,,,,,,,0.28,0.32,,,,,,0.11,0.03,,,,,
                  Vectrevirus,2732928,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Ampunavirus,2732929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.1,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Risjevirus,2732932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                  Bucovirus,2732937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,5.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Koutsourovirus,2732938,0.31,0.07,0.3,0.07,0.1,,,,0.4,0.43,0.34,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,3.54,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.1,0.21,,,,,,,,,,,,,,,,,0.22,,,,0.23,0.89,,0.16,0.05,3.84,,0.93,0.12,
                  Carltongylesvirus,2732960,,,,0.05,,,,0.49,0.19,0.22,0.25,0.31,,,,,,,,,,,,0.12,,0.19,,,,,,,,,,,,,,,,0.26,0.35,0.26,0.22,,0.51,,,,,,,0.15,0.13,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,0.12,,0.07,0.03,,,0.09,,0.09
                  Faunusvirus,2732961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Loessnervirus,2732962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Pahsextavirus,2732963,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,1.34,1.33,1.2,1.3,,0.71,1.01,0.62,0.44,0.35,0.92,0.84,0.34,0.84,0.62,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.14,,,,0.64,,,,,,,,,0.29,,,,,,,,0.56,0.19,,0.06,,,0.42,,0.19
                  Yushanvirus,2732965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,
                  Schiekvirus,2732968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,0.13,0.02,,,,0.12,0.5
                Harbinvirus,2732970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.08,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Aresaunavirus,2732972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Bielevirus,2732974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Citexvirus,2732977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Kisquattuordecimvirus,2732982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Kisquinquevirus,2732983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Simpcentumvirus,2733081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Alexandravirus,2733088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.08,0.13,0.15,,0.15,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,0.19,0.19,,,,0.08
                Anaposvirus,2733090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Aurunvirus,2733093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
