realm,kingdom,phylum,class,order,family,genus,species
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Spumaretrovirinae, unclassified Spumaretrovirinae
 Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Gammaherpesvirinae, Lymphocryptovirus
 Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Gammaherpesvirinae, Rhadinovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemykibivirus, Gemykibivirus humas4
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemygorvirus, Gemygorvirus sewopo1
 Monodnaviria, Sangervirae, Phixviricota, Malgrandaviricetes, Petitvirales, Microviridae, unclassified Microviridae,
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gyrovirus, Gyrovirus galga1
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Pegivirus, Pegivirus columbiaense
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, unclassified Orthoretrovirinae
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Recrevirales, Redondoviridae, Torbevirus, Torbevirus viento
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Pneumoviridae, Metapneumovirus
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, unclassified Zurhausenvirales, Papillomaviridae, unclassified Papillomaviridae
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Paavivirinae, Parechovirus
 Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Tetraparvovirus
 Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Picobirnaviridae, Orthopicobirnavirus, Orthopicobirnavirus hominis
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Alphapolyomavirus, Alphapolyomavirus saraneus
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Deltapolyomavirus, Deltapolyomavirus sextihominis
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Deltapolyomavirus, Deltapolyomavirus septihominis
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Alphapolyomavirus, Alphapolyomavirus nonihominis
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Pneumoviridae, Orthopneumovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Huchismacovirus, unclassified Huchismacovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus eniyan
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, unclassified Picornavirales, Husavirus, unclassified Husavirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus ilheusense
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus manusyan
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Alphainfluenzavirus
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Betainfluenzavirus
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Gammainfluenzavirus
 Monodnaviria, Loebvirae, Hofneiviricota, Faserviricetes, Tubulavirales, Inoviridae, Inovirus, unclassified Inovirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus japonicum
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Betapolyomavirus, Betapolyomavirus secuhominis
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Uukuvirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus kadamense
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Nairoviridae, Orthonairovirus
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Betapolyomavirus, Betapolyomavirus tertihominis
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus kokoberaorum
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus langatense
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Alphapolyomavirus, Alphapolyomavirus quardecihominis
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus loupingi
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Arenaviridae, Mammarenavirus
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus mayaro
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus meabanense
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Alphapolyomavirus, Alphapolyomavirus quintihominis
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, unclassified Anelloviridae,
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus modocense
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Molluscipoxvirus
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus mossopedras
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemykibivirus, Gemykibivirus humas1
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus murrayense
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Deltapolyomavirus, Deltapolyomavirus decihominis
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, unclassified Polyomaviridae,
 Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Gammaherpesvirinae, unclassified Gammaherpesvirinae
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Alphapolyomavirus, Alphapolyomavirus terdecihominis
 Riboviria, unclassified Riboviria, unclassified ssRNA viruses, unclassified ssRNA positive-strand viruses, Negevirus, unclassified Negevirus,,
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus ntayaense
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Centapoxvirus
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus sindbis
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus omskense
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus onyong
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Parapoxvirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Lineavirales, Oomyviridae, Nicoomyvirus, Nicoomyvirus moldensis
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Paavivirinae, Pasivirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus powassanense
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Quaranjavirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus bravoense
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Rosavirus
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus rossriver
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus royalense
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Matonaviridae, Rubivirus, Rubivirus rubellae
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus getah
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Salivirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Konodaiviridae, Satomivirus,
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus saumarezense
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus semliki
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Megaviricetes, Pimascovirales, Pimascovirales incertae sedis, Marseilleviridae, Marseillevirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, unclassified Caudoviricetes,,,
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, unclassified Anelloviridae, Small anellovirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus louisense
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Deltapolyomavirus, Deltapolyomavirus undecihominis
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Yatapoxvirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus tembusu
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Thogotovirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus encephalitidis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus tonate
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi1
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi10
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi11
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi12
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi13
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi14
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi2
